author,avg_ratings,original_publish_year,title,awards,Root
Charlotte Perkins Gilman,"
  4.04
",1892,"
      The Yellow Wallpaper and Other Stories
",,undefined
Diana Gabaldon,"
  4.43
",2005,"
      A Breath of Snow and Ashes
","All About Romance (AAR) Annual Reader Poll for Most-Hanky Read (tie) & Best American Historical/Frontier Romance (2006), The Quill Award for Science fiction/fantasy/horror (2006), Corine Internationaler Buchpreis for Weltbild Leserpreis (2006)",undefined
John Fowles,"
  4.06
",1965,"
      The Magus
",,undefined
Terry Pratchett,"
  4.48
",2002,"
      Night Watch
","Locus Award Nominee for Best Fantasy Novel (2003), Prometheus Award for Best Novel (2003), Tähtifantasia Award Nominee (2011)",undefined
Dan Brown,"
  3.86
",2013,"
      Inferno
",,undefined
Margaret Atwood,"
  4.01
",2003,"
      Oryx and Crake
",,undefined
Paulo Coelho,"
  3.71
",1998,"
      Veronika Decides to Die
",,undefined
P.C. Cast,"
  3.95
",2009,"
      Tempted
",Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Paranormal/Fantasy Novel (2009),undefined
Diana Gabaldon,"
  4.23
",2001,"
      The Fiery Cross
",,undefined
Dave Eggers,"
  3.68
",2000,"
      A Heartbreaking Work of Staggering Genius
",,undefined
Ally Carter,"
  3.82
",2006,"
      I'd Tell You I Love You, But Then I'd Have to Kill You
",,undefined
Ann Brashares,"
  3.80
",2001,"
      The Sisterhood of the Traveling Pants
","Book Sense Book of the Year Award for Children's Literature (2002), South Carolina Book Award Nominee for Young Adult Book Award (2004), Maryland Black-Eyed Susan Book Award for High School (2003), Rhode Island Teen Book Award (2002), Evergreen Teen Book Award (2004)
                      
                          Pacific Northwest Library Association Young Reader's Choice Award for Senior (2004), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2003), Iowa Teen Award (2004), Eliot Rosewater Indiana High School Book Award (2004), Lincoln Award Nominee (2007), Missouri Gateway Readers Award (2004), Oklahoma Sequoyah Award for YA (2004)",undefined
Robyn Mundell,"
  4.35
",2016,"
      Brainwalker
",,undefined
Louis de Bernières,"
  3.98
",1994,"
      Corelli's Mandolin
",,undefined
Tom Robbins,"
  4.21
",1984,"
      Jitterbug Perfume
",,undefined
Barbara Kingsolver,"
  3.99
",2000,"
      Prodigal Summer
",,undefined
Scott Lynch,"
  4.26
",2006,"
      The Lies of Locke Lamora
","Locus Award Nominee for Best Fantasy Novel and Best First Novel (2007), World Fantasy Award Nominee for Best Novel (2007), Compton Crook Award Nominee (2007), Grand Prix de l'Imaginaire Nominee for Roman étranger (2008), Tähtifantasia Award Nominee (2008)
                      
                          British Fantasy Award Nominee for Best Novel (2007)",undefined
Thomas Mann,"
  4.09
",1924,"
      The Magic Mountain
",,undefined
Henri Charrière,"
  4.22
",1969,"
      Papillon
",,undefined
Joseph Smith Jr.,"
  4.33
",1830,"
      The Book of Mormon: Another Testament of Jesus Christ
",,undefined
Kristin Hannah,"
  4.57
",2015,"
      The Nightingale
","Audie Award for Fiction (2016), Goodreads Choice Award for Historical Fiction (2015) and Nominee for Best of the Best  (2018), International Dublin Literary Award Nominee (2017)",undefined
Allen Ginsberg,"
  4.12
",1956,"
      Howl and Other Poems
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Cassandra Clare,"
  4.16
",2008,"
      City of Ashes
",,undefined
Raymond Chandler,"
  3.98
",1939,"
      The Big Sleep
",Anthony Award Nominee for Best Novel of the Century (2000),undefined
E.L. Konigsburg,"
  4.14
",1967,"
      From the Mixed-Up Files of Mrs. Basil E. Frankweiler
",,undefined
Kurt Vonnegut Jr.,"
  4.14
",1959,"
      The Sirens of Titan
",,undefined
Muriel Barbery,"
  3.77
",2006,"
      The Elegance of the Hedgehog
",,undefined
Carl Sagan,"
  4.37
",1980,"
      Cosmos
",,undefined
Kyle Keyes,"
  4.39
",2019,"
      Matching Configurations
",,undefined
Jacob Grimm,"
  4.13
",1909,"
      Grimm's Fairy Tales
",,undefined
Dean Koontz,"
  3.97
",2003,"
      Odd Thomas
",Lincoln Award Nominee (2006),undefined
Nicholas Sparks,"
  3.96
",1988,"
      Message in a Bottle
",,undefined
Dee Brown,"
  4.21
",1970,"
      Bury My Heart at Wounded Knee: An Indian History of the American West
",,undefined
Marie Lu,"
  4.26
",2013,"
      Prodigy
",Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2013),undefined
Jules Verne,"
  3.89
",1870,"
      Twenty Thousand Leagues Under the Sea
",,undefined
Alexander McCall Smith,"
  3.79
",1998,"
      The No. 1 Ladies' Detective Agency
",Martin Beck Award (2004),undefined
Rainbow Rowell,"
  4.21
",2015,"
      Carry On
",,undefined
Joseph Campbell,"
  4.26
",1988,"
      The Power of Myth
",,undefined
Rachel Caine,"
  3.91
",2006,"
      Glass Houses
",,undefined
Caleb Carr,"
  4.05
",1994,"
      The Alienist
","Anthony Award for Best First Novel (1995), Grand Prix de Littérature Policière for Romans étrangers (1996), Lambda Literary Award Nominee for Gay Men's Mystery (1995), Palle Rosenkrantz Prisen (1997)",undefined
J.R. Ward,"
  4.29
",2007,"
      Lover Revealed
","All About Romance (AAR) Annual Reader Poll for Guiltiest Pleasure Romance (2008), RITA Award by Romance Writers of America for Best Paranormal Romance (2008)",undefined
Erich Segal,"
  3.62
",1970,"
      Love Story
",,undefined
Toni Morrison,"
  4.07
",1970,"
      The Bluest Eye
",,undefined
Sophie Kinsella,"
  3.66
",2000,"
      Confessions of a Shopaholic
",,undefined
Walter Scott,"
  3.75
",1819,"
      Ivanhoe
",,undefined
Wallace Stegner,"
  4.22
",1971,"
      Angle of Repose
",,undefined
Charlaine Harris,"
  4.01
",2003,"
      Club Dead
",,undefined
Kyle Keyes,"
  4.34
",2012,"
      Quantum Roots
",,undefined
Jane Austen,"
  4.01
",1815,"
      Emma
",,undefined
J.A. Redmerski,"
  4.23
",2012,"
      The Edge of Never
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Suzanne Boisvert,"
  4.31
",2018,"
      The Awakening: Fate in Motion
",,undefined
Steven D. Levitt,"
  3.98
",2005,"
      Freakonomics: A Rogue Economist Explores the Hidden Side of Everything
",,undefined
Orson Scott Card,"
  4.30
",1999,"
      Ender's Shadow
","Locus Award Nominee for Best SF Novel (2000), ALA Alex Award (2000), Lincoln Award Nominee (2005), Seiun Award 星雲賞 Nominee for Best Foreign Novel (2001), Margaret A. Edwards Award (2008)",undefined
Sharon Creech,"
  3.96
",1994,"
      Walk Two Moons
",,undefined
Rosamunde Pilcher,"
  4.16
",1987,"
      The Shell Seekers
",,undefined
J.R. Ward,"
  4.37
",2009,"
      Lover Avenged
","All About Romance (AAR) Annual Reader Poll for Guiltiest Pleasure Romance & Honorable Mention for Best Paranormal Romance (2010), P.E.A.R.L. (Paranormal Excellence Award for Romantic Literature) for Best Overall Paranormal Romance AND Best Vampire Romance (2009)",undefined
Shannon Hale,"
  4.00
",2005,"
      Princess Academy
","Newbery Medal Nominee (2006), Utah Book Award for Children/Young Adults (2005), Dorothy Canfield Fisher Children's Book Award Nominee (2007), Rebecca Caudill Young Readers' Book Award Nominee (2008)",undefined
Virgil,"
  3.85
",9019,"
      The Aeneid
",,undefined
Jenny Han,"
  4.14
",2014,"
      To All the Boys I've Loved Before
",,undefined
Walter M. Miller Jr.,"
  3.97
",1959,"
      A Canticle for Leibowitz
",,undefined
Angie Thomas,"
  4.51
",2017,"
      The Hate U Give
",,undefined
Charlaine Harris,"
  3.96
",2002,"
      Living Dead in Dallas
",Lord Ruthven Award for Fiction (2003),undefined
Jonathan Franzen,"
  3.80
",2001,"
      The Corrections
",,undefined
Elizabeth George Speare,"
  3.98
",1958,"
      The Witch of Blackbird Pond
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Ayn Rand,"
  3.63
",1938,"
      Anthem
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Michael Pollan,"
  4.16
",2006,"
      The Omnivore's Dilemma: A Natural History of Four Meals
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Stephen King,"
  3.91
",2009,"
      Under the Dome
",,undefined
Tahereh Mafi,"
  4.22
",2013,"
      Unravel Me
",,undefined
Jorge Luis Borges,"
  4.58
",1998,"
      Collected Fictions
",,undefined
Kerstin Gier,"
  4.09
",2009,"
      Rubinrot
",,undefined
Toni Morrison,"
  4.09
",1977,"
      Song of Solomon
",,undefined
James Dashner,"
  3.77
",2011,"
      The Death Cure
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Helen Keller,"
  4.07
",1902,"
      The Story of My Life
",,undefined
Dan Brown,"
  3.67
",1998,"
      Digital Fortress
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Rudyard Kipling,"
  4.01
",1894,"
      The Jungle Books
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Ray Bradbury,"
  3.93
",1962,"
      Something Wicked This Way Comes
",,undefined
David Nicholls,"
  3.80
",2009,"
      One Day
","Bollinger Everyman Wodehouse Prize Nominee for Comic Fiction (2010), Exclusive Books Boeke Prize (2010), Galaxy National Book Award for Book of the Year (2011), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)",undefined
William Shakespeare,"
  3.91
",1606,"
      Macbeth
",,undefined
Steve Snyder,"
  4.30
",2014,"
      Shot Down: The True Story of Pilot Howard Snyder and the Crew of the B-17 Susan Ruth
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Dale Carnegie,"
  4.21
",1936,"
      How to Win Friends and Influence People
",,undefined
Maggie Stiefvater,"
  3.89
",2010,"
      Linger
",,undefined
Paula Hawkins,"
  3.93
",2015,"
      The Girl on the Train
","ITW Thriller Award Nominee for Best Hardcover Novel (2016), Audie Award for Audiobook of the Year (2016), Australian Book Industry Award (ABIA) Nominee for International Book (2016), Goodreads Choice Award for Mystery & Thriller (2015), Waterstones Book of the Year Nominee (2015)
                      
                          Woman & Home Reader's Choice Award for Best Thriller Of The Year (2016)",undefined
Katherine Dunn,"
  3.95
",1989,"
      Geek Love
",,undefined
Henry James,"
  3.77
",1881,"
      The Portrait of a Lady
",,undefined
Neal Stephenson,"
  4.24
",1999,"
      Cryptonomicon
",,undefined
E.M. Forster,"
  3.95
",1910,"
      Howards End
",,undefined
Thomas Hardy,"
  3.81
",1895,"
      Jude the Obscure
",,undefined
Kate DiCamillo,"
  4.05
",2000,"
      Because of Winn-Dixie
",,undefined
Kristin Cashore,"
  4.10
",2009,"
      Fire
",,undefined
Haruki Murakami,"
  4.15
",1985,"
      Hard-Boiled Wonderland and the End of the World
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Anonymous,"
  4.41
",1611,"
      Holy Bible: King James Version
",,undefined
Chaim Potok,"
  4.21
",1972,"
      My Name Is Asher Lev
",,undefined
Brandon Sanderson,"
  4.48
",2008,"
      The Hero of Ages
",,undefined
Dr. Seuss,"
  4.13
",1960,"
      One Fish, Two Fish, Red Fish, Blue Fish
",,undefined
Neil Gaiman,"
  4.00
",2013,"
      The Ocean at the End of the Lane
",,undefined
Ned Vizzini,"
  4.10
",2006,"
      It's Kind of a Funny Story
",,undefined
Agatha Christie,"
  4.11
",1937,"
      Death on the Nile
",,undefined
Robert A. Heinlein,"
  4.15
",1966,"
      The Moon Is a Harsh Mistress
",,undefined
Pierce Brown,"
  4.24
",2014,"
      Red Rising
",,undefined
Jhumpa Lahiri,"
  3.99
",2003,"
      The Namesake
",,undefined
Sarah J. Maas,"
  4.53
",2016,"
      Empire of Storms
",,undefined
Jorge Luis Borges,"
  4.44
",1944,"
      Ficciones
",,undefined
Lisa Genova,"
  4.31
",2007,"
      Still Alice
",,undefined
Chuck Palahniuk,"
  3.69
",2001,"
      Choke
",,undefined
Brian Selznick,"
  4.20
",2007,"
      The Invention of Hugo Cabret
",,undefined
Terry Pratchett,"
  3.99
",1983,"
      The Color of Magic
",Margaret A. Edwards Award (2011),undefined
John Green,"
  3.57
",2006,"
      An Abundance of Katherines
",,undefined
Koushun Takami,"
  4.16
",1999,"
      Battle Royale
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Robert A. Heinlein,"
  4.00
",1959,"
      Starship Troopers
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Justin Cronin,"
  4.03
",2010,"
      The Passage
",,undefined
P.L. Travers,"
  4.02
",1934,"
      Mary Poppins
",Nene Award (1965),undefined
Becca Fitzpatrick,"
  4.17
",2012,"
      Finale
",Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012),undefined
Anne Morrow Lindbergh,"
  4.15
",1955,"
      Gift from the Sea
",,undefined
Johann Wolfgang von Goethe,"
  3.68
",1774,"
      The Sorrows of Young Werther
",,undefined
Sophocles,"
  3.67
",5441,"
      Antigone
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Kelley Armstrong,"
  4.14
",2009,"
      The Awakening
",,undefined
Ray Bradbury,"
  4.06
",1957,"
      Dandelion Wine
",,undefined
Chuck Palahniuk,"
  3.91
",1999,"
      Survivor
",,undefined
Richard Yates,"
  3.90
",1961,"
      Revolutionary Road
",,undefined
Terry Pratchett,"
  4.30
",1992,"
      Small Gods
",,undefined
Kelley Armstrong,"
  4.18
",2010,"
      The Reckoning
",,undefined
Markus Zusak,"
  4.04
",2002,"
      I Am the Messenger
",,undefined
Robert Frost,"
  4.24
",1949,"
      The Poetry of Robert Frost
",,undefined
Edith Wharton,"
  3.41
",1911,"
      Ethan Frome
",,undefined
Jean-Paul Sartre,"
  3.92
",1938,"
      Nausea
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Olive Ann Burns,"
  4.01
",1984,"
      Cold Sassy Tree
",,undefined
Stephen King,"
  4.32
",2000,"
      On Writing: A Memoir of the Craft
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Winston Groom,"
  4.06
",1986,"
      Forrest Gump
",,undefined
Tim Butcher,"
  3.66
",2014,"
      The Trigger: Hunting the Assassin Who Brought the World to War
",,undefined
سید مرتضی مصطفوی,"
  4.03
",2016,"
      گم شده ای در مه
",,undefined
Dennis Lehane,"
  4.08
",2003,"
      Shutter Island
",,undefined
Mary Doria Russell,"
  4.12
",1996,"
      The Sparrow
","Arthur C. Clarke Award (1998), Kurd-Laßwitz-Preis for Foreign Novel (2001), British Science Fiction Association Award for Best Novel (1997), John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (1997), James Tiptree Jr. Award (1996)
                      
                          Puddly Award for Science Fiction (2001)",undefined
Leon Uris,"
  4.34
",1958,"
      Exodus
",,undefined
Jeannette Walls,"
  4.28
",2005,"
      The Glass Castle
",,undefined
Stephen R. Covey,"
  4.12
",1988,"
      The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change
",,undefined
Jamie McGuire,"
  4.20
",2013,"
      Walking Disaster
",,undefined
F. Scott Fitzgerald,"
  3.81
",1934,"
      Tender Is the Night
",,undefined
Robert James Waller,"
  3.63
",1992,"
      The Bridges of Madison County
",,undefined
Kate Morton,"
  4.13
",2008,"
      The Forgotten Garden
","Australian Book Industry Award (ABIA) for General Fiction (2009), 本屋大賞 Nominee for Translated Fiction (2012)",undefined
Douglas Adams,"
  4.21
",1980,"
      The Restaurant at the End of the Universe
",,undefined
Jules Verne,"
  3.94
",1872,"
      Around the World in Eighty Days
",Audie Award for Classic (2006),undefined
Sylvain Reynard,"
  4.00
",2011,"
      Gabriel's Inferno
",Goodreads Choice Award Nominee for Romance and for Goodreads Author (2011),undefined
Karen Marie Moning,"
  4.40
",2009,"
      Dreamfever
",,undefined
John Irving,"
  3.91
",1981,"
      The Hotel New Hampshire
",,undefined
Becky Albertalli,"
  4.28
",2015,"
      Simon vs. the Homo Sapiens Agenda
","National Book Award Nominee for Young People's Literature (2015), William C. Morris YA Debut Award (2016), Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2017), Evergreen Teen Book Award Nominee (2018), Milwaukee County Teen Book Award (2016)
                      
                          Deutscher Jugendliteraturpreis for Preis der Jugendjury (2017), Lincoln Award Nominee (2017), Goodreads Choice Award Nominee for Debut Goodreads Author, and for Young Adult Fiction (2015), Hea Noorteraamat (2017)",undefined
Scott Westerfeld,"
  3.76
",2006,"
      Specials
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Richelle Mead,"
  4.31
",2012,"
      The Golden Lily
",,undefined
Jung Chang,"
  4.25
",1991,"
      Wild Swans: Three Daughters of China
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Andrew Davidson,"
  3.94
",2008,"
      The Gargoyle
",,undefined
Juliet Marillier,"
  4.23
",1999,"
      Daughter of the Forest
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Richard Bach,"
  4.14
",1977,"
      Illusions: The Adventures of a Reluctant Messiah
",,undefined
Terry Pratchett,"
  4.22
",1987,"
      Mort
",,undefined
James Frey,"
  3.65
",2003,"
      A Million Little Pieces
",,undefined
Charlaine Harris,"
  4.00
",2006,"
      Definitely Dead
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Jeffrey Archer,"
  4.31
",1979,"
      Kane and Abel
",,undefined
Rick Riordan,"
  4.41
",2014,"
      The Blood of Olympus
",,undefined
Sylvia Day,"
  4.32
",2012,"
      Reflected in You
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Dennis Lehane,"
  4.16
",2001,"
      Mystic River
",,undefined
Katja Millay,"
  4.31
",2012,"
      The Sea of Tranquility
",,undefined
William Faulkner,"
  3.97
",1936,"
      Absalom, Absalom!
",,undefined
Vladimir Nabokov,"
  4.11
",1962,"
      Pale Fire
",,undefined
Stephen King,"
  4.24
",2004,"
      The Dark Tower
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
David Wroblewski,"
  3.62
",2008,"
      The Story of Edgar Sawtelle
",,undefined
Jeaniene Frost,"
  4.29
",2008,"
      One Foot in the Grave
",,undefined
J.R. Ward,"
  4.39
",2010,"
      Lover Mine
","All About Romance (AAR) Annual Reader Poll for Guiltiest Pleasure Romance & Honorable Mention for Best Paranormal Romance (2011), Romantic Times Reviewers' Choice Award (RT Award) Nominee for Vampire Romance (2010), Goodreads Choice Award for Romance (2010)",undefined
Charlaine Harris,"
  3.99
",2005,"
      Dead as a Doornail
",,undefined
Stieg Larsson,"
  4.44
",2005,"
      The Millennium Trilogy (Millennium Trilogy, #1-3)
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Sarah J. Maas,"
  4.44
",2017,"
      A Court of Wings and Ruin
",,undefined
Yuval Noah Harari,"
  4.41
",2011,"
      Sapiens: A Brief History of Humankind
",,undefined
Tim Butcher,"
  4.10
",2010,"
      Chasing the Devil: The Search for Africa's Fighting Spirit
",,undefined
P.C. Cast,"
  3.96
",2010,"
      Burned
","Children's Choice Book Award Nominee for Teen Choice Book of the Year (2011), Teen Read Award Nominee for Best Series (2010), Goodreads Choice Award Nominee for Young Adult Fantasy and for Favorite Book (2010)",undefined
Laurell K. Hamilton,"
  4.02
",1993,"
      Guilty Pleasures
",,undefined
Jeanne DuPrau,"
  3.86
",2003,"
      The City of Ember
",,undefined
أحمد جمال الدين رمضان,"
  4.53
",2016,"
      انتحار فاشل
",,undefined
Virginia Woolf,"
  3.86
",1928,"
      Orlando
",,undefined
أحمد جمال الدين رمضان,"
  4.54
",2016,"
      العصبي
",,undefined
Hubert Selby Jr.,"
  4.09
",1978,"
      Requiem for a Dream
",,undefined
Ellen Hopkins,"
  4.15
",2004,"
      Crank
","Soaring Eagle Book Award (2008), Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2011), Lincoln Award (2009), Goldener Lufti (2012), Green Mountain Book Award (2009)
                      
                          Missouri Gateway Readers Award (2007)",undefined
Leigh Bardugo,"
  3.99
",2012,"
      Shadow and Bone
",,undefined
Jennifer L. Armentrout,"
  4.28
",2012,"
      Opal
",,undefined
Tom Clancy,"
  4.08
",1984,"
      The Hunt for Red October
",,undefined
Catherine Marshall,"
  4.24
",1967,"
      Christy
",,undefined
Anonymous,"
  4.60
",1973,"
      Holy Bible: New International Version
",,undefined
Nicholas Sparks,"
  4.12
",2007,"
      The Lucky One
",,undefined
Jonathan Stroud,"
  4.00
",2003,"
      The Amulet of Samarkand
",,undefined
Helene Hanff,"
  4.15
",1970,"
      84, Charing Cross Road
",,undefined
Mark Z. Danielewski,"
  4.05
",2000,"
      House of Leaves
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Edith Wharton,"
  3.94
",1905,"
      The House of Mirth
",,undefined
Lauren Oliver,"
  4.05
",2012,"
      Pandemonium
",Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2012),undefined
Albert Camus,"
  4.02
",1956,"
      The Fall
",,undefined
William S. Burroughs,"
  3.46
",1959,"
      Naked Lunch
",,undefined
Irving Stone,"
  4.06
",1958,"
      The Agony and the Ecstasy
",,undefined
Richard Llewellyn,"
  4.18
",1939,"
      How Green Was My Valley
",,undefined
Tom Wolfe,"
  3.85
",1987,"
      The Bonfire of the Vanities
",,undefined
Charles Bukowski,"
  3.94
",1975,"
      Factotum
",,undefined
Richard Bachman,"
  4.08
",1979,"
      The Long Walk
",,undefined
Tom Robbins,"
  4.02
",1980,"
      Still Life with Woodpecker
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Mark Twain,"
  3.77
",1889,"
      A Connecticut Yankee in King Arthur's Court
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
L.J. Smith,"
  4.05
",2008,"
      Night World, No. 1
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Robin McKinley,"
  4.05
",1978,"
      Beauty: A Retelling of the Story of Beauty and the Beast
",,undefined
Billie Letts,"
  4.02
",1995,"
      Where the Heart Is
",,undefined
Colleen Hoover,"
  4.25
",2014,"
      Ugly Love
",,undefined
Bill Bryson,"
  4.06
",1998,"
      A Walk in the Woods: Rediscovering America on the Appalachian Trail
",,undefined
Yevgeny Zamyatin,"
  3.91
",1921,"
      We
",,undefined
John Green,"
  3.76
",2010,"
      Will Grayson, Will Grayson
","Stonewall Book Award Nominee for Children’s and Young Adult Literature (2011), Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Novel (2010), Odyssey Award Nominee (2011), Milwaukee County Teen Book Award (2011), Children's Choice Book Award for Teen Choice Book of the Year (2011)
                      
                          The Inky Awards Nominee for Silver Inky (2010), Lincoln Award Nominee (2013), Goodreads Choice Award Nominee for Young Adult Fiction (2010), The Inky Awards Shortlist for Silver Inky (2010)",undefined
Nicholas Sparks,"
  3.98
",2003,"
      The Wedding
",,undefined
Louis-Ferdinand Céline,"
  4.22
",1932,"
      Journey to the End of the Night
","Prix Renaudot (1932), Βραβείο Λογοτεχνικής Μετάφρασης ΕΚΕΜΕΛ Nominee for Γαλλόφωνη Λογοτεχνία (2008)",undefined
Gillian Flynn,"
  3.98
",2006,"
      Sharp Objects
",,undefined
S.C. Stephens,"
  4.10
",2009,"
      Thoughtless
",,undefined
Kelley Armstrong,"
  4.02
",2001,"
      Bitten
",,undefined
Brandon Mull,"
  4.09
",2006,"
      Fablehaven
",,undefined
Ernest Hemingway,"
  4.03
",1964,"
      A Moveable Feast
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Nevil Shute,"
  3.95
",1957,"
      On the Beach
",,undefined
Bret Easton Ellis,"
  3.64
",2005,"
      Lunar Park
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Pat Conroy,"
  4.16
",1995,"
      Beach Music
",,undefined
Ken Kesey,"
  4.18
",1964,"
      Sometimes a Great Notion
",,undefined
Agatha Christie,"
  4.24
",1926,"
      The Murder of Roger Ackroyd
",Anthony Award Nominee for Best Novel of the Century (2000),undefined
William Shakespeare,"
  4.25
",1609,"
      Shakespeare's Sonnets
",,undefined
Tammara Webber,"
  4.08
",2012,"
      Easy
",,undefined
Sarah Dessen,"
  4.02
",2002,"
      This Lullaby
",,undefined
Jodi Picoult,"
  4.01
",1998,"
      The Pact
",,undefined
Mildred D. Taylor,"
  3.84
",1976,"
      Roll of Thunder, Hear My Cry
","Newbery Medal (1977), Buxtehuder Bulle (1984), George C. Stone Center for Children's Books Recognition of Merit Award (1991), Jane Addams Children's Book Award Nominee (1977), Los Angeles Times Book Prize for Young Adult Fiction (2001)
                      
                          Dorothy Canfield Fisher Children's Book Award Nominee (1978), Coretta Scott King Book Award for Author Honor (1977), Pacific Northwest Library Association Young Reader's Choice Award (1979), Boston Globe-Horn Book Award Nominee for Fiction (1977), California Young Readers Medal Nominee for Middle School/Junior High (1980), National Book Award Finalist for Children's Literature (1977)",undefined
Dan Brown,"
  3.72
",2001,"
      Deception Point
",,undefined
Charlaine Harris,"
  4.01
",2008,"
      From Dead to Worse
",,undefined
Karen Marie Moning,"
  4.31
",2008,"
      Faefever
",,undefined
Jennifer L. Armentrout,"
  4.27
",2012,"
      Onyx
",,undefined
Gary Chapman,"
  4.25
",1990,"
      The 5 Love Languages: The Secret to Love that Lasts
",,undefined
Charlaine Harris,"
  4.01
",2009,"
      Dead and Gone
",Goodreads Choice Award for Fantasy (2009),undefined
Sherrilyn Kenyon,"
  4.16
",2002,"
      Fantasy Lover
",,undefined
Aprilynne Pike,"
  3.75
",2009,"
      Wings
",Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Paranormal/Fantasy Novel (2009),undefined
Charlaine Harris,"
  4.05
",2007,"
      All Together Dead
",,undefined
Junot Díaz,"
  3.90
",2007,"
      The Brief Wondrous Life of Oscar Wao
","Pulitzer Prize for Fiction (2008), Anisfield-Wolf Book Award (2008), Massachusetts Book Award for Fiction (2008), Los Angeles Times Book Prize Nominee for Fiction (2007), Dayton Literary Peace Prize for Fiction (2008)
                      
                          National Book Critics Circle Award for Fiction (2007), Hurston/Wright Legacy Award for Fiction (2008), The Center for Fiction First Novel Prize (2007), International Dublin Literary Award Nominee (2009), The Rooster -- The Morning News Tournament of Books (2008)",undefined
Junot Díaz,"
  3.90
",2007,"
      The Brief Wondrous Life of Oscar Wao
",,
Lauren Kate,"
  3.87
",2011,"
      Passion
",,undefined
Homer,"
  3.87
",9750,"
      The Iliad
",,undefined
Hanya Yanagihara,"
  4.31
",2015,"
      A Little Life
",,undefined
J.M. Coetzee,"
  3.84
",1999,"
      Disgrace
",,undefined
Ayn Rand,"
  3.87
",1943,"
      The Fountainhead
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Erin Hunter,"
  4.30
",2003,"
      Into the Wild
",,undefined
André Aciman,"
  4.22
",2007,"
      Call Me By Your Name
",,undefined
George Eliot,"
  3.65
",1861,"
      Silas Marner
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
David Levithan,"
  3.94
",2012,"
      Every Day
","Locus Award Nominee for Best Young Adult Book (2013), Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2014), Rhode Island Teen Book Award Nominee (2014), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2015), The Inky Awards Nominee for Silver Inky (2013)
                      
                          Lincoln Award Nominee (2014), Andre Norton Award Nominee (2012), NAIBA Book of the Year for Young Adult (2013), CYBILS Award Nominee for Fantasy & Science Fiction (Young Adult) (2012), Green Mountain Book Award Nominee (2015), Missouri Gateway Readers Award Nominee (2015), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2012)",undefined
Stephen King,"
  4.23
",1997,"
      Wizard and Glass
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Samuel Taylor Coleridge,"
  3.94
",1798,"
      The Rime of the Ancient Mariner
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Marcus Aurelius,"
  4.22
",6180,"
      Meditations
",,undefined
Krishna-Dwaipayana Vyasa,"
  4.13
",3400,"
      The Bhagavad Gita
",,undefined
